epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,117.493,1.43956,3.05542,2.34205,1.59892,0,0.348,0.35658,0.29711,0.18651,0.49495,0.24639,0.26397,0.15427,1.86024,4.65428,2.90028,2.17642,0,0.000332384,0.000332384,0.067094
2,221.209,1.46935,2.89593,2.14616,1.6349,0,0.42796,0.42167,0.41412,0.24942,0.40667,0.35839,0.33615,0.16695,1.74299,4.198,2.66973,2.02211,0,0.000665554,0.000665554,0.0340939
